	sequence_id	Assembly	cluster_id
83	GCA_001570745.1	GCA_001570745.1	Acidophiles
84	GCA_001707885.1	GCA_001707885.1	Acidophiles
85	GCA_001719125.1	GCA_001719125.1	Acidophiles
86	GCA_001748385.1	GCA_001748385.1	Acidophiles
87	GCA_001758465.1	GCA_001758465.1	Alkaliphiles
88	GCA_001761365.1	GCA_001761365.1	Alkaliphiles
89	GCA_001971705.1	GCA_001971705.1	Alkaliphiles
90	GCA_001975665.1	GCA_001975665.1	Alkaliphiles
91	GCA_002078355.1	GCA_002078355.1	Acidophiles
92	GCA_002116695.1	GCA_002116695.1	Acidophiles
93	GCA_002153915.1	GCA_002153915.1	Alkaliphiles
94	GCA_002156705.1	GCA_002156705.1	Alkaliphiles
95	GCA_002279355.1	GCA_002279355.1	Acidophiles
96	GCA_002355395.1	GCA_002355395.1	Alkaliphiles
98	GCA_002499975.2	GCA_002499975.2	Alkaliphiles
99	GCA_002806945.1	GCA_002806945.1	Alkaliphiles
100	GCA_002836945.1	GCA_002836945.1	Alkaliphiles
101	GCA_002836975.1	GCA_002836975.1	Alkaliphiles
102	GCA_002952775.1	GCA_002952775.1	Alkaliphiles
103	GCA_002966495.1	GCA_002966495.1	Alkaliphiles
104	GCA_003023695.1	GCA_003023695.1	Acidophiles
105	GCA_003023725.1	GCA_003023725.1	Acidophiles
106	GCA_003025595.1	GCA_003025595.1	Alkaliphiles
107	GCA_003057965.1	GCA_003057965.1	Acidophiles
108	GCA_003201675.2	GCA_003201675.2	Acidophiles
109	GCA_003201765.2	GCA_003201765.2	Acidophiles
110	GCA_003201835.2	GCA_003201835.2	Acidophiles
111	GCA_003226325.1	GCA_003226325.1	Alkaliphiles
112	GCA_003259835.1	GCA_003259835.1	Alkaliphiles
113	GCA_003317055.1	GCA_003317055.1	Alkaliphiles
114	GCA_003352165.1	GCA_003352165.1	Acidophiles
115	GCA_003430825.1	GCA_003430825.1	Alkaliphiles
116	GCA_003719725.1	GCA_003719725.1	Alkaliphiles
117	GCA_003731635.1	GCA_003731635.1	Alkaliphiles
118	GCA_003841465.1	GCA_003841465.1	Alkaliphiles
119	GCA_003841505.1	GCA_003841505.1	Alkaliphiles
120	GCA_003967175.1	GCA_003967175.1	Acidophiles
121	GCA_004123295.1	GCA_004123295.1	Acidophiles
122	GCA_004216575.1	GCA_004216575.1	Alkaliphiles
123	GCA_004216855.1	GCA_004216855.1	Alkaliphiles
124	GCA_004346035.1	GCA_004346035.1	Acidophiles
125	GCA_004366795.1	GCA_004366795.1	Acidophiles
126	GCA_004421185.1	GCA_004421185.1	Acidophiles
127	GCA_004745425.1	GCA_004745425.1	Alkaliphiles
128	GCA_007475525.1	GCA_007475525.1	Acidophiles
129	GCA_007988865.1	GCA_007988865.1	Alkaliphiles
130	GCA_007991715.1	GCA_007991715.1	Acidophiles
131	GCA_008122205.1	GCA_008122205.1	Alkaliphiles
132	GCA_008245225.1	GCA_008245225.1	Alkaliphiles
133	GCA_008369445.1	GCA_008369445.1	Alkaliphiles
134	GCA_009392895.1	GCA_009392895.1	Alkaliphiles
135	GCA_009662475.1	GCA_009662475.1	Acidophiles
136	GCA_009729015.1	GCA_009729015.1	Acidophiles
137	GCA_009729035.1	GCA_009729035.1	Acidophiles
138	GCA_009729055.1	GCA_009729055.1	Acidophiles
139	GCA_009765685.1	GCA_009765685.1	Acidophiles
140	GCA_009765975.1	GCA_009765975.1	Acidophiles
141	GCA_009938015.1	GCA_009938015.1	Acidophiles
142	GCA_013340765.1	GCA_013340765.1	Acidophiles
143	GCA_013343295.1	GCA_013343295.1	Acidophiles
144	GCA_013760845.1	GCA_013760845.1	Alkaliphiles
145	GCA_014196195.1	GCA_014196195.1	Alkaliphiles
146	GCA_014201585.1	GCA_014201585.1	Alkaliphiles
147	GCA_014201825.1	GCA_014201825.1	Acidophiles
148	GCA_014646555.1	GCA_014646555.1	Acidophiles
149	GCA_014647115.1	GCA_014647115.1	Acidophiles
150	GCA_014647155.1	GCA_014647155.1	Acidophiles
151	GCA_014647455.2	GCA_014647455.2	Acidophiles
152	GCA_017298635.1	GCA_017298635.1	Acidophiles
153	GCA_017298655.1	GCA_017298655.1	Acidophiles
154	GCA_017310505.1	GCA_017310505.1	Acidophiles
156	GCA_018853935.1	GCA_018853935.1	Acidophiles
157	GCA_018854495.1	GCA_018854495.1	Acidophiles
158	GCA_018860765.1	GCA_018860765.1	Alkaliphiles
159	GCA_018861005.1	GCA_018861005.1	Alkaliphiles
160	GCA_900079115.1	GCA_900079115.1	Acidophiles
161	GCA_900101165.1	GCA_900101165.1	Alkaliphiles
162	GCA_900104065.1	GCA_900104065.1	Alkaliphiles
163	GCA_900104215.1	GCA_900104215.1	Alkaliphiles
164	GCA_900107035.1	GCA_900107035.1	Acidophiles
165	GCA_900108085.1	GCA_900108085.1	Alkaliphiles
166	GCA_900108095.1	GCA_900108095.1	Alkaliphiles
167	GCA_900109085.1	GCA_900109085.1	Alkaliphiles
168	GCA_900109325.1	GCA_900109325.1	Alkaliphiles
169	GCA_900109825.1	GCA_900109825.1	Alkaliphiles
170	GCA_900110375.1	GCA_900110375.1	Alkaliphiles
171	GCA_900111795.1	GCA_900111795.1	Alkaliphiles
172	GCA_900112455.1	GCA_900112455.1	Alkaliphiles
173	GCA_900113635.1	GCA_900113635.1	Alkaliphiles
174	GCA_900116805.1	GCA_900116805.1	Acidophiles
175	GCA_900128885.1	GCA_900128885.1	Alkaliphiles
176	GCA_900128965.1	GCA_900128965.1	Acidophiles
177	GCA_900129115.1	GCA_900129115.1	Acidophiles
178	GCA_900129125.1	GCA_900129125.1	Acidophiles
179	GCA_900142255.1	GCA_900142255.1	Acidophiles
180	GCA_900156265.1	GCA_900156265.1	Acidophiles
181	GCA_900156755.1	GCA_900156755.1	Acidophiles
182	GCA_900175965.1	GCA_900175965.1	Alkaliphiles
183	GCA_900176145.1	GCA_900176145.1	Acidophiles
184	GCA_900176435.1	GCA_900176435.1	Acidophiles
185	GCA_900188065.1	GCA_900188065.1	Alkaliphiles
186	GCA_902143385.2	GCA_902143385.2	Acidophiles
187	GCA_902712915.1	GCA_902712915.1	Acidophiles
