	sequence_id	Assembly	cluster_id
197	GCA_000472905.1	GCA_000472905.1	Thermophiles
198	GCA_000482725.1	GCA_000482725.1	Psychrophiles
199	GCA_000482765.1	GCA_000482765.1	Thermophiles
200	GCA_000504085.1	GCA_000504085.1	Thermophiles
201	GCA_000504205.1	GCA_000504205.1	Mesophiles
202	GCA_000507185.2	GCA_000507185.2	Hyperthermophiles
203	GCA_000508305.1	GCA_000508305.1	Thermophiles
204	GCA_000512735.1	GCA_000512735.1	Hyperthermophiles
205	GCA_000513315.1	GCA_000513315.1	Mesophiles
206	GCA_000513855.1	GCA_000513855.1	Hyperthermophiles
207	GCA_000518605.1	GCA_000518605.1	Mesophiles
208	GCA_000518705.1	GCA_000518705.1	Mesophiles
209	GCA_000518805.1	GCA_000518805.1	Mesophiles
210	GCA_000525795.1	GCA_000525795.1	Mesophiles
211	GCA_000525875.1	GCA_000525875.1	Mesophiles
212	GCA_000525975.1	GCA_000525975.1	Mesophiles
213	GCA_000525995.1	GCA_000525995.1	Mesophiles
214	GCA_000585495.1	GCA_000585495.1	Hyperthermophiles
215	GCA_000591035.1	GCA_000591035.1	Hyperthermophiles
216	GCA_000614975.1	GCA_000614975.1	Psychrophiles
217	GCA_000620065.1	GCA_000620065.1	Thermophiles
218	GCA_000632495.1	GCA_000632495.1	Thermophiles
219	GCA_000632715.1	GCA_000632715.1	Thermophiles
220	GCA_000690595.2	GCA_000690595.2	Thermophiles
221	GCA_000698785.1	GCA_000698785.1	Mesophiles
222	GCA_000702485.1	GCA_000702485.1	Thermophiles
223	GCA_000709345.1	GCA_000709345.1	Psychrophiles
224	GCA_000711215.1	GCA_000711215.1	Mesophiles
225	GCA_000725425.1	GCA_000725425.1	Thermophiles
226	GCA_000739065.1	GCA_000739065.1	Hyperthermophiles
227	GCA_000742895.1	GCA_000742895.1	Mesophiles
228	GCA_000744175.1	GCA_000744175.1	Thermophiles
229	GCA_000744885.1	GCA_000744885.1	Thermophiles
230	GCA_000745065.1	GCA_000745065.1	Thermophiles
231	GCA_000753795.1	GCA_000753795.1	Psychrophiles
232	GCA_000759775.1	GCA_000759775.1	Mesophiles
233	GCA_000763575.1	GCA_000763575.1	Thermophiles
234	GCA_000766145.1	GCA_000766145.1	Mesophiles
235	GCA_000766865.1	GCA_000766865.1	Mesophiles
236	GCA_000769655.1	GCA_000769655.1	Hyperthermophiles
237	GCA_000771745.2	GCA_000771745.2	Thermophiles
238	GCA_000784355.1	GCA_000784355.1	Mesophiles
239	GCA_000785785.1	GCA_000785785.1	Mesophiles
240	GCA_000789255.1	GCA_000789255.1	Hyperthermophiles
241	GCA_000816085.1	GCA_000816085.1	Mesophiles
242	GCA_000816105.1	GCA_000816105.1	Hyperthermophiles
243	GCA_000816145.1	GCA_000816145.1	Thermophiles
244	GCA_000828575.1	GCA_000828575.1	Thermophiles
245	GCA_000828655.1	GCA_000828655.1	Thermophiles
246	GCA_000828675.1	GCA_000828675.1	Thermophiles
247	GCA_000831005.1	GCA_000831005.1	Mesophiles
248	GCA_000833605.1	GCA_000833605.1	Thermophiles
249	GCA_000875775.1	GCA_000875775.1	Mesophiles
250	GCA_000875895.1	GCA_000875895.1	Mesophiles
251	GCA_000934465.1	GCA_000934465.1	Mesophiles
252	GCA_000953475.1	GCA_000953475.1	Thermophiles
253	GCA_000953735.1	GCA_000953735.1	Psychrophiles
254	GCA_000955725.1	GCA_000955725.1	Thermophiles
255	GCA_000955735.1	GCA_000955735.1	Thermophiles
256	GCA_000955745.1	GCA_000955745.1	Thermophiles
257	GCA_000956175.1	GCA_000956175.1	Mesophiles
258	GCA_000966265.1	GCA_000966265.1	Hyperthermophiles
259	GCA_000967895.1	GCA_000967895.1	Psychrophiles
260	GCA_000969885.1	GCA_000969885.1	Thermophiles
261	GCA_000969905.1	GCA_000969905.1	Mesophiles
262	GCA_000970085.1	GCA_000970085.1	Mesophiles
263	GCA_000970205.1	GCA_000970205.1	Mesophiles
264	GCA_000970265.1	GCA_000970265.1	Psychrophiles
265	GCA_000970285.1	GCA_000970285.1	Mesophiles
266	GCA_000982825.1	GCA_000982825.1	Mesophiles
267	GCA_001006045.1	GCA_001006045.1	Hyperthermophiles
268	GCA_001006765.1	GCA_001006765.1	Mesophiles
269	GCA_001017125.1	GCA_001017125.1	Mesophiles
270	GCA_001027105.1	GCA_001027105.1	Mesophiles
271	GCA_001043175.1	GCA_001043175.1	Psychrophiles
272	GCA_001077885.1	GCA_001077885.1	Psychrophiles
273	GCA_001189275.1	GCA_001189275.1	Thermophiles
274	GCA_001267405.1	GCA_001267405.1	Thermophiles
275	GCA_001277175.1	GCA_001277175.1	Mesophiles
276	GCA_001277195.1	GCA_001277195.1	Mesophiles
277	GCA_001277215.2	GCA_001277215.2	Mesophiles
278	GCA_001277235.1	GCA_001277235.1	Mesophiles
279	GCA_001277255.1	GCA_001277255.1	Mesophiles
280	GCA_001280255.1	GCA_001280255.1	Thermophiles
281	GCA_001280565.1	GCA_001280565.1	Thermophiles
282	GCA_001294625.1	GCA_001294625.1	Psychrophiles
283	GCA_001295365.1	GCA_001295365.1	Thermophiles
284	GCA_001298525.1	GCA_001298525.1	Psychrophiles
285	GCA_001310975.1	GCA_001310975.1	Thermophiles
286	GCA_001375655.1	GCA_001375655.1	Mesophiles
287	GCA_001411745.2	GCA_001411745.2	Psychrophiles
288	GCA_001412615.1	GCA_001412615.1	Hyperthermophiles
289	GCA_001444505.1	GCA_001444505.1	Psychrophiles
290	GCA_001445575.1	GCA_001445575.1	Psychrophiles
291	GCA_001447355.1	GCA_001447355.1	Thermophiles
292	GCA_001462395.1	GCA_001462395.1	Hyperthermophiles
293	GCA_001481685.1	GCA_001481685.1	Hyperthermophiles
294	GCA_001484195.1	GCA_001484195.1	Hyperthermophiles
295	GCA_001500315.1	GCA_001500315.1	Mesophiles
296	GCA_001509375.1	GCA_001509375.1	Mesophiles
297	GCA_001516585.1	GCA_001516585.1	Thermophiles
298	GCA_001535545.1	GCA_001535545.1	Hyperthermophiles
299	GCA_001542905.1	GCA_001542905.1	Mesophiles
300	GCA_001544255.1	GCA_001544255.1	Mesophiles
301	GCA_001544355.1	GCA_001544355.1	Thermophiles
302	GCA_001552255.1	GCA_001552255.1	Thermophiles
303	GCA_001552655.1	GCA_001552655.1	Thermophiles
304	GCA_001552675.1	GCA_001552675.1	Thermophiles
305	GCA_001562115.1	GCA_001562115.1	Psychrophiles
306	GCA_001570745.1	GCA_001570745.1	Thermophiles
307	GCA_001571405.1	GCA_001571405.1	Thermophiles
308	GCA_001592435.1	GCA_001592435.1	Thermophiles
309	GCA_001594015.1	GCA_001594015.1	Thermophiles
310	GCA_001598235.1	GCA_001598235.1	Psychrophiles
311	GCA_001602375.1	GCA_001602375.1	Mesophiles
312	GCA_001606025.1	GCA_001606025.1	Psychrophiles
313	GCA_001634285.1	GCA_001634285.1	Thermophiles
314	GCA_001639275.1	GCA_001639275.1	Mesophiles
315	GCA_001640115.1	GCA_001640115.1	Psychrophiles
316	GCA_001644665.1	GCA_001644665.1	Thermophiles
317	GCA_001647085.1	GCA_001647085.1	Hyperthermophiles
318	GCA_001679725.1	GCA_001679725.1	Psychrophiles
319	GCA_001708385.1	GCA_001708385.1	Psychrophiles
320	GCA_001719065.1	GCA_001719065.1	Thermophiles
321	GCA_001719125.1	GCA_001719125.1	Thermophiles
322	GCA_001748385.1	GCA_001748385.1	Hyperthermophiles
323	GCA_001761365.1	GCA_001761365.1	Psychrophiles
324	GCA_001792775.2	GCA_001792775.2	Mesophiles
325	GCA_001880325.1	GCA_001880325.1	Thermophiles
326	GCA_001889405.1	GCA_001889405.1	Mesophiles
327	GCA_001939735.1	GCA_001939735.1	Psychrophiles
328	GCA_001950255.1	GCA_001950255.1	Thermophiles
329	GCA_001950325.1	GCA_001950325.1	Thermophiles
330	GCA_001953745.1	GCA_001953745.1	Thermophiles
331	GCA_001971705.1	GCA_001971705.1	Mesophiles
332	GCA_001975665.1	GCA_001975665.1	Psychrophiles
333	GCA_002005305.1	GCA_002005305.1	Psychrophiles
334	GCA_002072215.1	GCA_002072215.1	Mesophiles
335	GCA_002075795.1	GCA_002075795.1	Mesophiles
336	GCA_002094855.1	GCA_002094855.1	Psychrophiles
337	GCA_002116695.1	GCA_002116695.1	Hyperthermophiles
338	GCA_002153915.1	GCA_002153915.1	Thermophiles
339	GCA_002201895.1	GCA_002201895.1	Hyperthermophiles
340	GCA_002214365.1	GCA_002214365.1	Hyperthermophiles
341	GCA_002214385.1	GCA_002214385.1	Thermophiles
342	GCA_002214465.1	GCA_002214465.1	Hyperthermophiles
343	GCA_002214485.1	GCA_002214485.1	Thermophiles
344	GCA_002214545.1	GCA_002214545.1	Hyperthermophiles
345	GCA_002214565.1	GCA_002214565.1	Hyperthermophiles
346	GCA_002214605.1	GCA_002214605.1	Hyperthermophiles
347	GCA_002215585.1	GCA_002215585.1	Psychrophiles
348	GCA_002217405.1	GCA_002217405.1	Psychrophiles
349	GCA_002243045.1	GCA_002243045.1	Psychrophiles
350	GCA_002287235.1	GCA_002287235.1	Mesophiles
351	GCA_002355215.1	GCA_002355215.1	Mesophiles
352	GCA_002355995.1	GCA_002355995.1	Thermophiles
353	GCA_002502785.1	GCA_002502785.1	Mesophiles
354	GCA_002503885.1	GCA_002503885.1	Mesophiles
355	GCA_002506535.1	GCA_002506535.1	Mesophiles
356	GCA_002572525.1	GCA_002572525.1	Thermophiles
357	GCA_002732165.1	GCA_002732165.1	Mesophiles
358	GCA_002754935.1	GCA_002754935.1	Thermophiles
359	GCA_002761295.1	GCA_002761295.1	Mesophiles
360	GCA_002777975.1	GCA_002777975.1	Mesophiles
361	GCA_002813695.1	GCA_002813695.1	Mesophiles
362	GCA_002849605.1	GCA_002849605.1	Psychrophiles
363	GCA_002900365.1	GCA_002900365.1	Mesophiles
364	GCA_002901705.1	GCA_002901705.1	Mesophiles
365	GCA_002901825.1	GCA_002901825.1	Mesophiles
366	GCA_002901845.1	GCA_002901845.1	Mesophiles
367	GCA_002901865.1	GCA_002901865.1	Mesophiles
368	GCA_002901945.1	GCA_002901945.1	Mesophiles
369	GCA_002902235.1	GCA_002902235.1	Mesophiles
370	GCA_002902265.1	GCA_002902265.1	Mesophiles
371	GCA_002902285.1	GCA_002902285.1	Mesophiles
372	GCA_002902305.1	GCA_002902305.1	Mesophiles
373	GCA_002902325.1	GCA_002902325.1	Mesophiles
374	GCA_002902345.1	GCA_002902345.1	Mesophiles
375	GCA_002902385.1	GCA_002902385.1	Mesophiles
376	GCA_002902405.1	GCA_002902405.1	Mesophiles
377	GCA_002902625.1	GCA_002902625.1	Mesophiles
378	GCA_002902685.1	GCA_002902685.1	Mesophiles
379	GCA_002902725.1	GCA_002902725.1	Mesophiles
380	GCA_002902755.1	GCA_002902755.1	Mesophiles
381	GCA_002909375.1	GCA_002909375.1	Psychrophiles
382	GCA_002909445.1	GCA_002909445.1	Psychrophiles
383	GCA_002945325.1	GCA_002945325.1	Mesophiles
384	GCA_002954225.1	GCA_002954225.1	Psychrophiles
385	GCA_002954245.1	GCA_002954245.1	Psychrophiles
386	GCA_002954455.1	GCA_002954455.1	Psychrophiles
387	GCA_002954665.1	GCA_002954665.1	Psychrophiles
388	GCA_002954685.1	GCA_002954685.1	Psychrophiles
389	GCA_002964845.1	GCA_002964845.1	Thermophiles
390	GCA_002994445.1	GCA_002994445.1	Mesophiles
391	GCA_002995755.1	GCA_002995755.1	Thermophiles
392	GCA_002995805.1	GCA_002995805.1	Thermophiles
393	GCA_003012915.1	GCA_003012915.1	Mesophiles
394	GCA_003019255.1	GCA_003019255.1	Mesophiles
395	GCA_003019275.1	GCA_003019275.1	Mesophiles
396	GCA_003025615.1	GCA_003025615.1	Psychrophiles
397	GCA_003026285.1	GCA_003026285.1	Psychrophiles
398	GCA_003026355.1	GCA_003026355.1	Psychrophiles
399	GCA_003026395.1	GCA_003026395.1	Psychrophiles
400	GCA_003026475.1	GCA_003026475.1	Psychrophiles
401	GCA_003026815.1	GCA_003026815.1	Psychrophiles
402	GCA_003035445.1	GCA_003035445.1	Mesophiles
403	GCA_003043455.1	GCA_003043455.1	Mesophiles
404	GCA_003057965.1	GCA_003057965.1	Thermophiles
405	GCA_003097355.1	GCA_003097355.1	Psychrophiles
406	GCA_003148585.1	GCA_003148585.1	Psychrophiles
407	GCA_003173335.1	GCA_003173335.1	Psychrophiles
408	GCA_003185895.1	GCA_003185895.1	Psychrophiles
409	GCA_003185915.1	GCA_003185915.1	Psychrophiles
410	GCA_003201675.2	GCA_003201675.2	Thermophiles
411	GCA_003201765.2	GCA_003201765.2	Thermophiles
412	GCA_003201835.2	GCA_003201835.2	Thermophiles
413	GCA_003217155.1	GCA_003217155.1	Psychrophiles
414	GCA_003219795.1	GCA_003219795.1	Psychrophiles
415	GCA_003219815.1	GCA_003219815.1	Psychrophiles
416	GCA_003259835.1	GCA_003259835.1	Psychrophiles
417	GCA_003264935.1	GCA_003264935.1	Thermophiles
418	GCA_003312425.1	GCA_003312425.1	Psychrophiles
419	GCA_003336745.1	GCA_003336745.1	Thermophiles
420	GCA_003344925.1	GCA_003344925.1	Psychrophiles
421	GCA_003350005.1	GCA_003350005.1	Psychrophiles
422	GCA_003350545.1	GCA_003350545.1	Psychrophiles
423	GCA_003353085.1	GCA_003353085.1	Mesophiles
424	GCA_003368535.1	GCA_003368535.1	Thermophiles
425	GCA_003399625.1	GCA_003399625.1	Psychrophiles
426	GCA_003399635.1	GCA_003399635.1	Psychrophiles
427	GCA_003399645.1	GCA_003399645.1	Psychrophiles
428	GCA_003534205.1	GCA_003534205.1	Mesophiles
429	GCA_003568865.1	GCA_003568865.1	Mesophiles
430	GCA_003574035.1	GCA_003574035.1	Thermophiles
431	GCA_003574085.1	GCA_003574085.1	Thermophiles
432	GCA_003574095.1	GCA_003574095.1	Thermophiles
433	GCA_003574215.1	GCA_003574215.1	Thermophiles
434	GCA_003605125.1	GCA_003605125.1	Psychrophiles
435	GCA_003634755.1	GCA_003634755.1	Psychrophiles
436	GCA_003688495.1	GCA_003688495.1	Psychrophiles
437	GCA_003722075.1	GCA_003722075.1	Mesophiles
438	GCA_003722315.1	GCA_003722315.1	Thermophiles
439	GCA_003797125.1	GCA_003797125.1	Psychrophiles
440	GCA_003797885.1	GCA_003797885.1	Psychrophiles
441	GCA_003855395.1	GCA_003855395.1	Psychrophiles
442	GCA_003862495.1	GCA_003862495.1	Mesophiles
443	GCA_003966225.1	GCA_003966225.1	Psychrophiles
444	GCA_003966265.1	GCA_003966265.1	Psychrophiles
445	GCA_003967175.1	GCA_003967175.1	Thermophiles
446	GCA_003970495.1	GCA_003970495.1	Mesophiles
447	GCA_003970575.1	GCA_003970575.1	Mesophiles
448	GCA_004102725.1	GCA_004102725.1	Mesophiles
449	GCA_004117075.1	GCA_004117075.1	Thermophiles
450	GCA_004137855.1	GCA_004137855.1	Mesophiles
451	GCA_004217335.1	GCA_004217335.1	Thermophiles
452	GCA_004345675.1	GCA_004345675.1	Thermophiles
453	GCA_004365915.1	GCA_004365915.1	Psychrophiles
454	GCA_004366795.1	GCA_004366795.1	Thermophiles
455	GCA_004402405.1	GCA_004402405.1	Psychrophiles
456	GCA_004634385.1	GCA_004634385.1	Hyperthermophiles
457	GCA_004745425.1	GCA_004745425.1	Mesophiles
458	GCA_004765815.2	GCA_004765815.2	Mesophiles
459	GCA_004799665.1	GCA_004799665.1	Mesophiles
460	GCA_004923255.1	GCA_004923255.1	Psychrophiles
461	GCA_005954745.1	GCA_005954745.1	Mesophiles
462	GCA_006094395.1	GCA_006094395.1	Mesophiles
463	GCA_006716115.1	GCA_006716115.1	Psychrophiles
464	GCA_006757745.1	GCA_006757745.1	Mesophiles
465	GCA_007004735.1	GCA_007004735.1	Thermophiles
466	GCA_007197645.1	GCA_007197645.1	Psychrophiles
467	GCA_007475525.1	GCA_007475525.1	Thermophiles
468	GCA_007567505.1	GCA_007567505.1	Psychrophiles
469	GCA_007671655.1	GCA_007671655.1	Mesophiles
