	sequence_id	Assembly	cluster_id
103	GCA_002966495.1	GCA_002966495.1	Bacteria
104	GCA_003023695.1	GCA_003023695.1	Bacteria
105	GCA_003023725.1	GCA_003023725.1	Bacteria
106	GCA_003025595.1	GCA_003025595.1	Bacteria
107	GCA_003057965.1	GCA_003057965.1	Bacteria
108	GCA_003201675.2	GCA_003201675.2	Archaea
109	GCA_003201765.2	GCA_003201765.2	Archaea
110	GCA_003201835.2	GCA_003201835.2	Archaea
111	GCA_003226325.1	GCA_003226325.1	Bacteria
112	GCA_003259835.1	GCA_003259835.1	Bacteria
113	GCA_003317055.1	GCA_003317055.1	Bacteria
114	GCA_003352165.1	GCA_003352165.1	Bacteria
115	GCA_003430825.1	GCA_003430825.1	Archaea
116	GCA_003719725.1	GCA_003719725.1	Bacteria
117	GCA_003731635.1	GCA_003731635.1	Bacteria
118	GCA_003841465.1	GCA_003841465.1	Archaea
119	GCA_003841505.1	GCA_003841505.1	Archaea
120	GCA_003967175.1	GCA_003967175.1	Archaea
121	GCA_004123295.1	GCA_004123295.1	Bacteria
122	GCA_004216575.1	GCA_004216575.1	Bacteria
123	GCA_004216855.1	GCA_004216855.1	Bacteria
124	GCA_004346035.1	GCA_004346035.1	Bacteria
125	GCA_004366795.1	GCA_004366795.1	Bacteria
126	GCA_004421185.1	GCA_004421185.1	Bacteria
127	GCA_004745425.1	GCA_004745425.1	Archaea
128	GCA_007475525.1	GCA_007475525.1	Bacteria
129	GCA_007988865.1	GCA_007988865.1	Bacteria
130	GCA_007991715.1	GCA_007991715.1	Bacteria
131	GCA_008122205.1	GCA_008122205.1	Archaea
132	GCA_008245225.1	GCA_008245225.1	Archaea
133	GCA_008369445.1	GCA_008369445.1	Bacteria
134	GCA_009392895.1	GCA_009392895.1	Archaea
135	GCA_009662475.1	GCA_009662475.1	Bacteria
136	GCA_009729015.1	GCA_009729015.1	Archaea
137	GCA_009729035.1	GCA_009729035.1	Archaea
138	GCA_009729055.1	GCA_009729055.1	Archaea
139	GCA_009765685.1	GCA_009765685.1	Bacteria
140	GCA_009765975.1	GCA_009765975.1	Bacteria
141	GCA_009938015.1	GCA_009938015.1	Bacteria
142	GCA_013340765.1	GCA_013340765.1	Archaea
143	GCA_013343295.1	GCA_013343295.1	Archaea
144	GCA_013760845.1	GCA_013760845.1	Bacteria
145	GCA_014196195.1	GCA_014196195.1	Bacteria
146	GCA_014201585.1	GCA_014201585.1	Bacteria
147	GCA_014201825.1	GCA_014201825.1	Bacteria
148	GCA_014646555.1	GCA_014646555.1	Archaea
149	GCA_014647115.1	GCA_014647115.1	Archaea
150	GCA_014647155.1	GCA_014647155.1	Archaea
151	GCA_014647455.2	GCA_014647455.2	Archaea
152	GCA_017298635.1	GCA_017298635.1	Bacteria
153	GCA_017298655.1	GCA_017298655.1	Bacteria
154	GCA_017310505.1	GCA_017310505.1	Bacteria
156	GCA_018853935.1	GCA_018853935.1	Bacteria
157	GCA_018854495.1	GCA_018854495.1	Bacteria
158	GCA_018860765.1	GCA_018860765.1	Bacteria
159	GCA_018861005.1	GCA_018861005.1	Bacteria
160	GCA_900079115.1	GCA_900079115.1	Archaea
161	GCA_900101165.1	GCA_900101165.1	Bacteria
162	GCA_900104065.1	GCA_900104065.1	Archaea
163	GCA_900104215.1	GCA_900104215.1	Bacteria
164	GCA_900107035.1	GCA_900107035.1	Bacteria
165	GCA_900108085.1	GCA_900108085.1	Bacteria
166	GCA_900108095.1	GCA_900108095.1	Archaea
167	GCA_900109085.1	GCA_900109085.1	Bacteria
168	GCA_900109325.1	GCA_900109325.1	Bacteria
169	GCA_900109825.1	GCA_900109825.1	Bacteria
170	GCA_900110375.1	GCA_900110375.1	Bacteria
171	GCA_900111795.1	GCA_900111795.1	Bacteria
172	GCA_900112455.1	GCA_900112455.1	Bacteria
173	GCA_900113635.1	GCA_900113635.1	Bacteria
174	GCA_900116805.1	GCA_900116805.1	Bacteria
175	GCA_900128885.1	GCA_900128885.1	Bacteria
176	GCA_900128965.1	GCA_900128965.1	Bacteria
177	GCA_900129115.1	GCA_900129115.1	Bacteria
178	GCA_900129125.1	GCA_900129125.1	Bacteria
179	GCA_900142255.1	GCA_900142255.1	Bacteria
180	GCA_900156265.1	GCA_900156265.1	Bacteria
181	GCA_900156755.1	GCA_900156755.1	Bacteria
182	GCA_900175965.1	GCA_900175965.1	Bacteria
183	GCA_900176145.1	GCA_900176145.1	Bacteria
184	GCA_900176435.1	GCA_900176435.1	Archaea
185	GCA_900188065.1	GCA_900188065.1	Archaea
186	GCA_902143385.2	GCA_902143385.2	Bacteria
187	GCA_902712915.1	GCA_902712915.1	Bacteria
